geonameid,name,asciiname,alternatenames,latitude,longitude,feature class,feature code,country code,cc2,admin1 code,admin2 code,admin3 code,admin4 code,population,elevation,dem,timezone,modification date
712250,Bershad’,Bershad',"Berschad,Bershad',Bershad’,Бершадь",48.36782,29.51726,P,PPLA2,UA,,23,,,,0,,171,Europe/Kiev,2014-10-01
712260,Beryslav,Beryslav,"Berislav,Berisslaw,Beryslav,Beryslavas,Beryslaw,Berysław,Berîslav,Berıslav,bei li si la fu,berislavi,bryslaf,byryslaf,Берислав,Բերիսլավ,بریسلاف,بيريسلاف,ბერისლავი,貝里斯拉夫",46.84152,33.42838,P,PPLA2,UA,,8,,,,14880,,45,Europe/Kiev,2014-12-03
712276,Berezovo,Berezovo,"Berezna,Berezove,Berezovo,Березове,Березово",48.30943,23.474,P,PPL,UA,,25,,,,2885,,276,Europe/Uzhgorod,2012-05-06
712300,Berezivka,Berezivka,"Berezivka,Berezovka,Berëzovka,Березовка,Березівка",49.43935,35.70736,P,PPL,UA,,7,,,,1618,,119,Europe/Kiev,2016-04-10
712312,Berezivka,Berezivka,"Beresovka,Beresowka,Berezivka,Berezovka,Berëzovka,Березовка,Березівка",47.20429,30.9078,P,PPLA2,UA,,17,,,,9128,,14,Europe/Kiev,2014-11-05
712313,Berezovka,Berezovka,"Berezivka,Berezovka,Sejich Eli,Smidovich,Šejiχ Eli,Березовка,Березівка,Смидо́вич",45.57471,33.34397,P,PPLA3,UA,,11,695741,11153025,,1308,55,52,Europe/Simferopol,2017-03-29
712332,Berezne,Berezne,"Berezne,Berezno,Berëzno,Березне",51.00094,26.75106,P,PPLA2,UA,,19,,,,0,,165,Europe/Kiev,2014-08-06
712336,Bereznyky,Bereznyky,"Bereznik,Berezniki,Bereznyky,Березники",48.51407,23.21982,P,PPL,UA,,25,,,,3055,,313,Europe/Uzhgorod,2012-05-06
712339,Bereznehuvate,Bereznehuvate,"Bereznegovata,Bereznegovataya,Bereznegovatoe,Bereznegovatoye,Berezneguvate,Bereznehuvate,Березнеговатое,Березнегувате",47.30783,32.84993,P,PPLA2,UA,,16,,,,7506,,20,Europe/Kiev,2014-11-05
712343,Berezna,Berezna,"Beresna,Berezna,Березна",51.5716,31.78456,P,PPL,UA,,2,,,,5172,,129,Europe/Kiev,2014-06-27
712349,Berezyne,Berezyne,"Berezina,Berezine,Berezino,Berezyne,Ratunda,Березине",46.22968,29.20436,P,PPL,UA,,17,,,,3658,,40,Europe/Kiev,2016-04-10
712374,Бережани,Berezhani,"Berejani,Bereschany,Berezany,Berezhani,Berezhany,Berezjany,Berežany,Brzezany,Brzezhany,Brzeżany,Бережани,Бережаны",49.45,24.93333,P,PPL,UA,,22,,,,16962,,305,Europe/Kiev,2010-01-27
712387,Berezanka,Berezanka,"Berezanka,Suvorovo,Tiligulo-Berezanka,Tiligulo-Berezannya,Березанка",46.85262,31.38802,P,PPLA2,UA,,16,,,,4090,,15,Europe/Kiev,2014-11-05
712416,Berestechko,Berestechko,"Berestechko,Beresteczko,Beresteczo,Берестечко",50.36047,25.11071,P,PPL,UA,,24,,,,1830,,190,Europe/Kiev,2010-10-07
712423,Berehove,Berehove,"Bereg,Beregove,Beregovo,Beregszasz,Beregszász,Berehove,Berehovo,Berehovė,Berehowe,Berehowo,Berekhovo,Gorad Behrehgaveh,Peregium,belehobe,beregovo,bie lie ge wo,brhwbh,brhwfh,byryhwfy,Берегове,Берегово,Горад Бэрэгавэ,Բերեգովո,בערעגסאז,ברהובה,برهوفه,بيريهوفي,ბერეგოვო,别列戈沃,베레호베",48.20555,22.64418,P,PPLA2,UA,,25,,,,25741,,117,Europe/Uzhgorod,2014-08-06
712427,Beregovoye,Beregovoye,"Beregove,Beregovoe,Beregovoye,Koronel',Берегове,Береговое,Коронель",45.0947,35.43385,P,PPL,UA,,11,8449683,,,2377,5,7,Europe/Simferopol,2016-05-23
712430,Berehomet,Berehomet,"Barhumet,Beregomet,Berehomet,Bergomet,Berhomet,Berhomete pe Siret,Berkhomet,Berkhomet-pe-Siret,Берегомет",48.17882,25.34855,P,PPL,UA,,3,,,,8227,,450,Europe/Kiev,2012-01-18
712433,Velyki Berehy,Velyki Berehy,"Beregi,Veliki Beregi,Velikie Beregi,Velyki Beregy,Velyki Berehy,Великие Береги,Великі Береги",48.23187,22.74591,P,PPL,UA,,25,,,,2766,,117,Europe/Uzhgorod,2017-04-15
712441,Berdychiv,Berdychiv,"Berdicev,Berdichen,Berdichev,Berdichiv,Berdiciv,Berdiciva,Berditschew,Berdiçev,Berdičiva,Berdychiv,Berdyciv,Berdycivas,Berdyciw,Berdyczow,Berdyczów,Berdytchiv,Berdytjiv,Berdytschiw,Berdytsiv,Berdytsjiv,Berdytšiv,Berdyčiv,Berdyčivas,Berdyčiw,Berdîciv,Berdıçiv,Gorad Behrdychyu,beleudichiu,berdichevi,berudichifu,bie er ji qie fu,brdychyf,brdyzb,byrdytshyf,Бердичев,Бердичив,Бердичів,Горад Бэрдычыў,Բերդիչև,בערדיטשעוו,ברדיצב,بردیچیف,بيرديتشيف,ბერდიჩევი,ベルディチフ,別爾基切夫,베르디치우",49.89928,28.60235,P,PPLA2,UA,,27,,,,86250,,250,Europe/Kiev,2014-10-01
712451,Berdyans’k,Berdyans'k,"Berdjans'k,Berdjansk,Berdyans'k,Berdyansk,Berdyans’k,Osipenko,Бердянск,Бердянськ",46.76644,36.79872,P,PPLA2,UA,,26,,,,118284,,31,Europe/Zaporozhye,2017-08-28
712471,Belz,Belz,"Bele,Bels,Belsk,Belz,Belza,Belzas,Belzec,Bełsk,Bełz,bei er zi,belzi,beruzu,blz,bylz,Белз,Բելզ,בלז,بلز,بيلز,ბელზი,ベルズ,貝爾茲",50.38226,24.00642,P,PPL,UA,,15,,,,2386,,200,Europe/Kiev,2017-05-02
712477,Bili Oslavy,Bili Oslavy,"Belyye Oslavy,Bili Oslavi,Bili Oslavy,Oslav Byaly,Oslaw Bialy,Oslawy Biale,Osław Biały,Osławy Białe,Білі Ослави",48.48722,24.70078,P,PPL,UA,,6,,,,4351,,486,Europe/Kiev,2012-10-01
712488,Bilyayivka,Bilyayivka,"Belyayevka,Bilaivka,Biljaivka,Bilyayivka,Біляївка",46.48319,30.21678,P,PPLA2,UA,,17,712482,,,13762,,7,Europe/Kiev,2017-03-14
712508,Bilozerka,Bilozerka,"Belozerka,Belozërka,Bilozerka,Білозерка",46.6248,32.44251,P,PPLA2,UA,,8,,,,9348,,18,Europe/Kiev,2014-12-03
712515,Bile,Bile,"Beloe,Beloye,Bile,Белое,Біле",48.49523,39.05051,P,PPL,UA,,14,,,,6775,,68,Europe/Zaporozhye,2014-06-26
712521,Bilovods'k,Bilovods'k,"Belovodsk,Belowodskoje,Bilovods'k,Беловодск",49.20846,39.58975,P,PPL,UA,UA,14,,,,8626,,64,Europe/Zaporozhye,2010-06-07
712559,Bilopillya,Bilopillya,"Belopol'e,Belopol'ye,Belopolje,Belopol’ye,Bilopilla,Bilopillja,Bilopillya,Белополье,Білопілля",51.15016,34.31287,P,PPLA2,UA,,21,,,,17824,,165,Europe/Kiev,2014-11-05
712569,Bilokurakyne,Bilokurakyne,"Belokurakino,Bilokurakine,Bilokurakyne,Белокуракино,Білокуракине",49.5341,38.73067,P,PPLA2,UA,,14,,,,7712,,88,Europe/Zaporozhye,2014-07-08
712576,Inkerman,Inkerman,"Belokamensk,Inceromania,Inkerman,Inkermanas,Inkermano,aynkrman,yin ke er man,İnkerman,Інкерман,Белока́менск,Инкерман,Ինկերման,اینکرمان,因克爾曼",44.61391,33.6098,P,PPLA3,UA,,20,712927,11153386,,10204,50,19,Europe/Simferopol,2016-05-24
712582,Lyakhovtsy,Lyakhovtsy,"Belogor'ye,Belogor’ye,Bilogir'ja,Bilohir""ya,Bilohir”ya,Lyakhovtsy,Білогір’я",50.00263,26.42824,P,PPLA2,UA,,9,,,,0,,243,Europe/Kiev,2014-09-05
712587,Belogorsk,Belogorsk,"Belogorsk,Bilogirs'k,Karasubazar,Белогорск,Білогірськ,Карасубаза́р",45.05462,34.60185,P,PPLA2,UA,,11,712585,11152825,,16428,,182,Europe/Simferopol,2016-07-21
712588,Bilohorivka,Bilohorivka,"Belogorovka,Bilogorivka,Bilohorivka,Белогоровка,Білогорівка",48.92503,38.24822,P,PPL,UA,,14,,,,1142,,70,Europe/Zaporozhye,2014-06-27
712602,Bilky,Bilky,"Belka,Belki,Bil'ki,Bilki,Bilky,Bil’ki,Белка,Білки",48.31503,23.13248,P,PPL,UA,,25,,,,7778,,147,Europe/Uzhgorod,2012-05-06
712613,Bilyts’ke,Bilyts'ke,"Belickoe,Belitskoye,Bilic'ke,Bilyts'ke,Bilyts’ke,Khutor Belitskiy,Белицкое,Білицьке",48.40642,37.18111,P,PPL,UA,,5,,,,9718,,193,Europe/Kiev,2014-06-27
712618,Belinskoye,Belinskoye,"Belins'ke,Belinskoe,Belinskoye,Белинское,Бєлінське",45.37465,36.08212,P,PPLA3,UA,,11,703233,11128216,,368,,31,Europe/Simferopol,2016-05-23
712656,Bila Krynytsya,Bila Krynytsya,"Belaya Krinitsa,Bila Krinica,Bila Krinicja,Bila Krynytsya,Біла Криниця",50.63982,29.47041,P,PPL,UA,,27,,,,1029,,137,Europe/Kiev,2013-04-04
712667,Belaya,Belaya,"Belaya,Bila,Біла",49.029,25.77059,P,PPL,UA,,22,,,,3728,,277,Europe/Kiev,2012-01-18
712682,Bekhtery,Bekhtery,"Bekhteri,Bekhtery,Бехтери",46.2479,32.29123,P,PPL,UA,,8,,,,2909,,7,Europe/Kiev,2014-12-03
712715,Bazaliya,Bazaliya,"Bazalia,Bazaliya,Базалія",49.71267,26.47331,P,PPL,UA,,9,,,,2035,,303,Europe/Kiev,2012-01-18
712724,Bayrachky,Bayrachky,"Bajrachki,Bayrachki,Bayrachky,Байрачки",48.392,38.60174,P,PPL,UA,,14,,,,1065,268,262,Europe/Zaporozhye,2014-06-05
712732,Trudovoye,Trudovoye,"Bajgel'dy,Trudove,Trudovoe,Trudovoye,Байгельды́,Трудове,Трудовое",45.23797,33.75836,P,PPL,UA,,11,694905,11153093,,1423,25,23,Europe/Simferopol,2016-08-12
712745,Baturyn,Baturyn,"Barturin,Batouryn,Baturin,Baturina,Baturinum,Baturyn,Baturynas,Baturîn,Baturın,ba tu lin,bato~uru~in,batulin,batwryn,Бартурин,Батурин,Բատուրին,باتورين,باتورین,ბატურინი,バトゥールィン,巴圖林,바투린",51.34567,32.87794,P,PPL,UA,,2,,,,2964,,145,Europe/Kiev,2012-10-07
712755,Batal’noye,Batal'noye,"Aɣyrmag Eli,Batal'ne,Batal'noe,Batal'noye,Batal’noye,Батальне,Батальное",45.19402,35.61583,P,PPLA3,UA,,11,703233,11128212,,1275,,61,Europe/Simferopol,2017-03-28
712775,Bashtanka,Bashtanka,"Bachtanka,Baschtanka,Bashhanka,Bashtanka,Basjtanka,Bastanka,Basztanka,Baştanka,Baštanka,Baștanka,ba shen tan ka,bashtanka,Баштанка,Бащанка,Բաշտանկա,باشتانكا,باشتانکا,ბაშტანკა,巴什坦卡",47.40719,32.43868,P,PPLA2,UA,,16,,,,12657,,77,Europe/Kiev,2014-11-05
712787,Baryshivka,Baryshivka,"Barishivka,Baryshevka,Baryshivka,Lipnyaki,Баришівка,Барышевка",50.36098,31.32173,P,PPLA2,UA,,13,,,,10762,,100,Europe/Kiev,2014-10-01
712794,Barvinkove,Barvinkove,"Barvenkova,Barvenkovo,Barvinkove,Barvinkovė,Barwenkowa,Barwinkowe,ba wen ke fu,barfynkwfy,barwynkwfh,Барвенково,Барвинкове,Барвінкове,Բարվենկովո,بارفينكوفي,باروینکوفه,ბარვენკოვო,巴文科伏",48.9097,37.02051,P,PPLA2,UA,,7,,,,12344,,92,Europe/Kiev,2014-06-05
712829,Baranivka,Baranivka,"Baranivka,Baranovka,Baranowka,Баранівка",50.3,27.66667,P,PPLA2,UA,,27,,,,0,,224,Europe/Kiev,2014-10-01
712839,Baranovka,Baranovka,"Baranovka,Барановка",50.29691,27.6622,P,PPL,UA,,27,,,,12220,,223,Europe/Kiev,2010-07-13
712850,Sinitsyno,Sinitsyno,"Barak,Sinicine,Sinicyno,Sinitsyno,Бара́к,Синицине,Синицыно",45.23862,35.24659,P,PPLA3,UA,,11,705800,11152901,,1142,12,13,Europe/Simferopol,2016-07-21
712861,Bar,Bar,"Bar,Bar i Ukraina,Baras,ba er,baleu,bar,bar  awkrayn,bari,baru,Бар,Բար,באר,بار,بار، اوکراین,ბარი,バール,巴爾,바르",49.07717,27.68256,P,PPLA2,UA,,23,,,,16641,,282,Europe/Kiev,2014-10-01
712871,Banyliv,Banyliv,"Baniliv,Banilov,Banyliv,Russish Banilya,Russkiy Banilov,Банилів",48.36612,25.34549,P,PPL,UA,,3,,,,3748,,253,Europe/Kiev,2012-01-18
712886,Balta,Balta,"Balta,Balta i Ukraina,Bałta,ba er ta,balta,balta  awkrayn,Балта,Բալտա,באלטה,بالتا,بالتا، اوکراین,ბალტა,巴爾塔",47.93548,29.61982,P,PPLA2,UA,,17,,,,19220,,123,Europe/Kiev,2014-11-05
712895,Balky,Balky,"Balki,Balky,Балки",47.38336,34.94396,P,PPL,UA,,26,,,,5717,,73,Europe/Zaporozhye,2016-06-04
712920,Zaritcha,Zaritcha,"Zarech'e,Заречье",49.71667,29.23333,P,PPL,UA,,27,,,,2178,,215,Europe/Kiev,2013-02-16
712926,Balakliya,Balakliya,"Balakleja,Balakleya,Balaklija,Balakliya,Балаклея,Балаклія",49.4627,36.85951,P,PPLA2,UA,,7,,,,31156,,79,Europe/Kiev,2014-07-08
712930,Balaklava,Balaklava,"Balaclava,Balaklava,Balaklavo,Balaklawa,Baliklava,Baliqlava,Balyglava,Balıklava,Balıqlava,Bałakława,balaklafa,ballakeullaba,barakuravu~a,Балаклава,بالاكلافا,バラクラヴァ,발라클라바",44.51118,33.59942,P,PPLA3,UA,,20,712927,11153385,,18649,10,12,Europe/Simferopol,2017-03-28
712966,Bakhmach,Bakhmach,"Bakhmach,Бахмач",51.20093,32.77451,P,PPLA2,UA,,2,,,,0,,138,Europe/Kiev,2014-11-05
